customer_id,customer_name,age,gender,city,income,customer_since
1,Customer_1,64,Male,Kolkata,1258202,2017-09-29
2,Customer_2,51,Female,Chennai,1687868,2021-07-31
3,Customer_3,39,Male,Kolkata,1530021,2019-01-21
4,Customer_4,37,Female,Chennai,923572,2017-12-01
5,Customer_5,36,Female,Mumbai,1869977,2016-10-03
6,Customer_6,18,Male,Mumbai,338182,2021-09-09
7,Customer_7,31,Male,Hyderabad,1573929,2023-11-07
8,Customer_8,28,Male,Kolkata,550562,2017-04-14
9,Customer_9,45,Male,Hyderabad,936677,2016-06-22
10,Customer_10,46,Female,Pune,1085601,2015-05-09
11,Customer_11,26,Female,Kolkata,865729,2022-09-12
12,Customer_12,51,Male,Bangalore,1865746,2015-04-30
13,Customer_13,54,Male,Delhi,915585,2017-02-22
14,Customer_14,43,Male,Pune,1155867,2019-06-30
15,Customer_15,62,Male,Pune,1982656,2022-05-25
16,Customer_16,69,Female,Mumbai,1190598,2019-05-19
17,Customer_17,60,Male,Chennai,1775888,2023-08-02
18,Customer_18,46,Female,Kolkata,267666,2022-07-06
19,Customer_19,25,Male,Kolkata,1111763,2019-04-09
20,Customer_20,67,Female,Pune,218060,2022-12-01
21,Customer_21,33,Male,Bangalore,1801651,2017-11-29
22,Customer_22,18,Male,Pune,879005,2015-01-08
23,Customer_23,36,Female,Hyderabad,1286313,2024-07-31
24,Customer_24,57,Male,Kolkata,1931579,2023-05-22
25,Customer_25,62,Male,Pune,442282,2022-10-18
26,Customer_26,66,Male,Delhi,1651142,2015-11-23
27,Customer_27,18,Male,Chennai,408475,2016-06-20
28,Customer_28,62,Male,Mumbai,1361909,2024-01-07
29,Customer_29,27,Female,Delhi,643918,2023-01-14
30,Customer_30,64,Male,Hyderabad,621979,2020-01-10
31,Customer_31,52,Male,Pune,306252,2022-12-01
32,Customer_32,66,Male,Kolkata,478299,2017-06-20
33,Customer_33,61,Male,Hyderabad,520951,2023-05-08
34,Customer_34,23,Male,Delhi,1192919,2020-05-27
35,Customer_35,39,Female,Kolkata,1688800,2023-06-21
36,Customer_36,34,Female,Hyderabad,903084,2017-02-25
37,Customer_37,59,Female,Hyderabad,1193640,2022-03-22
38,Customer_38,29,Female,Delhi,1664860,2019-03-16
39,Customer_39,60,Male,Pune,1553371,2017-06-22
40,Customer_40,50,Female,Hyderabad,1853081,2016-01-31
41,Customer_41,58,Male,Bangalore,1903063,2019-05-16
42,Customer_42,54,Male,Chennai,946524,2016-07-10
43,Customer_43,23,Male,Bangalore,1970402,2017-04-20
44,Customer_44,46,Female,Bangalore,1473866,2016-12-20
45,Customer_45,61,Male,Kolkata,423090,2016-06-02
46,Customer_46,47,Male,Bangalore,642954,2017-03-24
47,Customer_47,67,Male,Delhi,505706,2022-01-13
48,Customer_48,64,Male,Hyderabad,417386,2021-11-07
49,Customer_49,60,Female,Delhi,1337788,2016-09-10
50,Customer_50,66,Female,Bangalore,556781,2021-01-13
51,Customer_51,49,Male,Hyderabad,1520803,2022-09-06
52,Customer_52,25,Male,Delhi,674260,2023-10-30
53,Customer_53,46,Female,Pune,970523,2021-02-06
54,Customer_54,65,Male,Mumbai,485152,2021-05-22
55,Customer_55,68,Male,Delhi,1984003,2015-11-05
56,Customer_56,66,Male,Bangalore,1861624,2020-02-12
57,Customer_57,32,Male,Kolkata,582172,2024-07-27
58,Customer_58,65,Female,Pune,1613011,2024-01-19
59,Customer_59,31,Male,Pune,1335684,2024-07-16
60,Customer_60,37,Female,Kolkata,275091,2019-12-26
61,Customer_61,59,Male,Chennai,1939577,2017-07-17
62,Customer_62,31,Male,Pune,1532783,2024-04-09
63,Customer_63,42,Female,Mumbai,1273571,2021-11-29
64,Customer_64,21,Male,Chennai,1512596,2020-07-19
65,Customer_65,25,Female,Bangalore,1836217,2016-09-27
66,Customer_66,67,Female,Kolkata,301967,2018-03-05
67,Customer_67,60,Male,Bangalore,1592361,2017-09-26
68,Customer_68,50,Female,Pune,549182,2018-02-19
69,Customer_69,51,Female,Hyderabad,1868096,2018-06-10
70,Customer_70,29,Male,Chennai,1930193,2024-07-04
71,Customer_71,45,Male,Bangalore,344853,2018-06-17
72,Customer_72,22,Female,Chennai,1667798,2024-04-17
73,Customer_73,56,Male,Pune,1747085,2024-03-19
74,Customer_74,49,Male,Kolkata,1977467,2015-07-23
75,Customer_75,67,Male,Hyderabad,658158,2022-05-06
76,Customer_76,48,Female,Delhi,1018078,2022-07-25
77,Customer_77,32,Female,Chennai,439216,2019-03-04
78,Customer_78,62,Female,Kolkata,1573958,2017-08-25
